,Gene_Name,mantis_ml_proba,mantis_ml_perc,
0,IFT172,0.999767973066795,100,
1,IFT140,0.999725821667825,99.994631160743,
2,SCN5A,0.99970553708148,99.9892623214861,
3,BBS7,0.999693039045023,99.9838934822291,
4,AHI1,0.999506434017675,99.9785246429721,
5,IFT122,0.999490348013426,99.9731558037152,
6,MYH6,0.999481075092015,99.9677869644582,
7,BBS4,0.999472365553224,99.9624181252013,
8,WDR19,0.999414195344364,99.9570492859443,
9,NDUFS1,0.999200389217908,99.9516804466874,
10,PMPCB,0.999152929737137,99.9463116074304,
11,GLI3,0.999148661990156,99.9409427681735,
12,MCCC2,0.999143312604867,99.9355739289165,
13,TTN,0.998975454656401,99.9302050896596,
14,COL2A1,0.998915699445243,99.9248362504026,
15,MKS1,0.998831125746061,99.9194674111457,
16,CUBN,0.998811292333997,99.9140985718887,
17,TH,0.998770911383258,99.9087297326318,
18,CPS1,0.99874281789367,99.9033608933748,
19,RYR2,0.998734344412867,99.8979920541179,
20,HMGCL,0.99871458592898,99.8926232148609,
21,HADHA,0.99871266403532,99.887254375604,
22,MKKS,0.998660538823608,99.881885536347,
23,RPGRIP1L,0.998637296751099,99.8765166970901,
24,ETFDH,0.998636489438651,99.8711478578331,
25,BBS1,0.998631382044838,99.8657790185761,
26,BRCA2,0.998614738790422,99.8604101793192,
27,C2CD3,0.998570168240998,99.8550413400622,
28,MYO7A,0.998527818710967,99.8496725008053,
29,CYP17A1,0.99839890200096,99.8443036615483,
30,SCN2A,0.998391905341488,99.8389348222914,
31,PCCA,0.998381836856689,99.8335659830344,
32,SCN8A,0.998379651852215,99.8281971437775,
33,GNAT1,0.998363087285978,99.8228283045205,
34,SLC34A1,0.998337500874663,99.8174594652636,
35,CEP290,0.998255674765428,99.8120906260066,
36,PCCB,0.998128657540463,99.8067217867497,
37,PFAS,0.99804570237274,99.8013529474927,
38,PAX2,0.997973685962221,99.7959841082358,
39,COL11A1,0.997959314383326,99.7906152689788,
40,COL3A1,0.997945456705396,99.7852464297219,
41,SCN3A,0.997897721207708,99.7798775904649,
42,BBS10,0.997766418981028,99.7745087512079,
43,LAMB2,0.997751669192431,99.769139911951,
44,COL1A1,0.997709923866559,99.763771072694,
45,TRAF3IP1,0.997684313538814,99.7584022334371,
46,FGFR2,0.997672687277327,99.7530333941801,
47,APOB,0.997660509669158,99.7476645549232,
48,BCKDHB,0.997606659123301,99.7422957156662,
49,TCTN1,0.997581778972381,99.7369268764093,
50,BFSP2,0.997566956524839,99.7315580371523,
51,F5,0.997562486831154,99.7261891978954,
52,ACADM,0.997541572596011,99.7208203586384,
53,CPT1A,0.997537256240242,99.7154515193815,
54,CCDC40,0.997412275976755,99.7100826801245,
55,ESR1,0.99737702125948,99.7047138408676,
56,ARL13B,0.997295129297868,99.6993450016106,
57,CAT,0.997260922066704,99.6939761623537,
58,GPI,0.997243019794013,99.6886073230967,
59,CHRNA1,0.997196320633301,99.6832384838398,
60,CACNA1C,0.997176866001629,99.6778696445828,
61,FREM2,0.997139906140619,99.6725008053259,
62,COL7A1,0.997074873673701,99.6671319660689,
63,SCN9A,0.99705765817357,99.6617631268119,
64,RPE65,0.997023889046018,99.656394287555,
65,CACNB2,0.996997777949696,99.651025448298,
66,DARS2,0.996980453673125,99.6456566090411,
67,RPGRIP1,0.996943801003896,99.6402877697841,
68,CNGB1,0.996925463656972,99.6349189305272,
69,KARS,0.996920277557616,99.6295500912702,
70,ATP2A1,0.996905275630722,99.6241812520133,
71,SPEF2,0.996846639889897,99.6188124127563,
72,F2,0.99684097760251,99.6134435734994,
73,EYA1,0.996829723161152,99.6080747342424,
74,DYNC2H1,0.996823487454981,99.6027058949855,
75,EGFR,0.996818525776787,99.5973370557285,
76,ATP1A3,0.99681238587893,99.5919682164716,
77,SLITRK6,0.996781440191517,99.5865993772146,
78,DLD,0.996776767863952,99.5812305379577,
79,RYR1,0.996748375292617,99.5758616987007,
80,GLI2,0.996740467263102,99.5704928594437,
81,TFAP2B,0.996735232188768,99.5651240201868,
82,MED1,0.996719506483138,99.5597551809298,
83,FRAS1,0.996716422273985,99.5543863416729,
84,ATP8A2,0.996710105015904,99.5490175024159,
85,NARS2,0.996692726725321,99.543648663159,
86,CHRNA3,0.996689464541623,99.538279823902,
87,COL4A3,0.996682385378314,99.5329109846451,
88,GLB1,0.996675210489361,99.5275421453881,
89,USH2A,0.996610410161462,99.5221733061312,
90,DLAT,0.99654926112712,99.5168044668742,
91,IVD,0.996545284899261,99.5114356276173,
92,GNAT2,0.996541981354704,99.5060667883603,
93,GATA3,0.996533913959588,99.5006979491034,
94,TULP1,0.996528103591345,99.4953291098464,
95,NTRK1,0.996526312980548,99.4899602705894,
96,SLC25A13,0.996463036632499,99.4845914313325,
97,SCN1A,0.996462964826116,99.4792225920755,
98,WDR35,0.99639212829655,99.4738537528186,
99,FGA,0.996338742627182,99.4684849135616,
100,ARG1,0.996301041205765,99.4631160743047,
101,KIT,0.996288618376929,99.4577472350477,
102,GPD2,0.996279312434866,99.4523783957908,
103,FBN1,0.996253804049033,99.4470095565338,
104,SDHA,0.99622176898984,99.4416407172769,
105,ASS1,0.996187449571999,99.4362718780199,
106,C3,0.996171768740245,99.430903038763,
107,SHH,0.996146264540802,99.425534199506,
108,ACO1,0.996087753101218,99.4201653602491,
109,LRRK2,0.996076827082388,99.4147965209921,
110,TFAP2A,0.996068148989354,99.4094276817352,
111,RHO,0.996030138715538,99.4040588424782,
112,EARS2,0.995985425428789,99.3986900032213,
